Function,Method,h,Approximation,Exact,Error
exp(x),Forward,0.1,2.858841954873883,2.718281828459045,0.14056012641483795
exp(x),Forward,0.01,2.7319186557871245,2.718281828459045,0.01363682732807936
exp(x),Backward,0.1,2.5867871730209524,2.718281828459045,0.1314946554380927
exp(x),Backward,0.01,2.704735610978304,2.718281828459045,0.013546217480741252
exp(x),Central,0.1,2.7228145639474177,2.718281828459045,0.00453273548837263
exp(x),Central,0.01,2.718327133382714,2.718281828459045,4.530492366905392e-05
exp(x),Richardson,0.1,2.718281261981766,2.718281828459045,5.664772793068096e-07
exp(x),Richardson,0.01,2.718281828402354,2.718281828459045,5.6691096261829443e-11
sin(x),Forward,0.1,0.4973637525353891,0.5403023058681398,0.04293855333275065
sin(x),Forward,0.01,0.536085981011869,0.5403023058681398,0.00421632485627077
sin(x),Backward,0.1,0.5814407518041309,0.5403023058681398,0.04113844593599114
sin(x),Backward,0.01,0.544500620737598,0.5403023058681398,0.004198314869458208
sin(x),Central,0.1,0.53940225216976,0.5403023058681398,0.0009000536983797547
sin(x),Central,0.01,0.5402933008747335,0.5403023058681398,9.004993406280803e-06
sin(x),Richardson,0.1,0.5403021933386563,0.5403023058681398,1.1252948350914949e-07
sin(x),Richardson,0.01,0.5403023058568638,0.5403023058681398,1.1275980149605402e-11
x^3 - 2x + 1,Forward,0.1,1.3100000000000023,1.0,0.3100000000000023
x^3 - 2x + 1,Forward,0.01,1.0301000000000116,1.0,0.030100000000011562
x^3 - 2x + 1,Backward,0.1,0.7099999999999995,1.0,0.2900000000000005
x^3 - 2x + 1,Backward,0.01,0.970099999999996,1.0,0.029900000000004034
x^3 - 2x + 1,Central,0.1,1.010000000000001,1.0,0.010000000000000897
x^3 - 2x + 1,Central,0.01,1.0001000000000038,1.0,0.00010000000000376374
x^3 - 2x + 1,Richardson,0.1,1.000000000000002,1.0,1.9984014443252818e-15
x^3 - 2x + 1,Richardson,0.01,0.999999999999975,1.0,2.4980018054066022e-14
cos(x),Forward,0.1,-0.8670618444256245,-0.8414709848078965,0.025590859617728
cos(x),Forward,0.01,-0.8441584493784293,-0.8414709848078965,0.002687464570532816
cos(x),Backward,0.1,-0.8130766240252463,-0.8414709848078965,0.02839436078265023
cos(x),Backward,0.01,-0.8387554713447765,-0.8414709848078965,0.002715513463120045
cos(x),Central,0.1,-0.8400692342254353,-0.8414709848078965,0.0014017505824611698
cos(x),Central,0.01,-0.8414569603616029,-0.8414709848078965,1.4024446293614545e-05
cos(x),Richardson,0.1,-0.84147080955361,-0.8414709848078965,1.7525428652742647e-07
cos(x),Richardson,0.01,-0.8414709847903546,-0.8414709848078965,1.754185685598486e-11
